iter	Passed	Remaining
455	835	996
456	837	994
457	838	992
458	839	989
459	840	986
460	841	984
461	843	981
462	844	979
463	845	976
464	846	973
465	848	972
466	850	971
467	852	968
468	853	966
469	854	964
470	856	961
471	857	958
472	858	956
473	859	953
474	860	950
475	861	948
476	863	946
477	865	944
478	866	942
479	867	939
480	868	937
481	869	934
482	871	932
483	872	930
484	873	927
485	875	925
486	879	925
487	880	923
488	881	921
489	882	918
490	884	916
491	885	914
492	886	911
493	887	909
494	889	907
495	891	906
496	893	904
497	895	902
498	898	902
499	899	899
500	900	897
501	902	894
502	903	892
503	904	890
504	906	888
505	908	886
506	909	884
507	910	881
508	911	879
509	912	876
510	913	874
511	914	871
512	915	869
513	916	866
514	917	864
515	919	862
516	921	860
517	922	858
518	924	856
519	925	854
520	926	851
521	927	849
522	928	846
523	929	844
524	930	841
525	931	839
526	932	837
527	934	835
528	936	833
529	937	831
530	939	829
531	940	827
532	941	824
533	942	822
534	944	820
535	945	818
536	946	815
537	948	814
538	950	812
539	951	810
540	952	808
541	953	805
542	954	803
543	955	801
544	956	798
545	957	796
546	959	794
547	960	792
548	961	789
549	964	788
550	965	787
551	967	785
552	969	783
553	970	781
554	971	779
555	972	776
556	974	774
557	975	772
558	977	771
559	980	770
560	982	768
561	983	766
562	985	764
563	986	762
564	987	760
565	988	758
566	989	755
567	991	754
568	993	752
569	995	750
570	996	749
571	998	747
572	999	744
573	1000	742
574	1002	740
575	1004	739
576	1008	739
577	1009	737
578	1011	735
579	1012	733
580	1014	731
581	1015	729
582	1017	727
583	1018	725
584	1023	726
585	1025	724
586	1026	722
587	1028	720
588	1031	719
589	1033	717
590	1035	716
591	1038	715
592	1039	713
593	1041	712
594	1043	710
595	1045	708
596	1047	706
597	1049	705
598	1052	704
599	1054	702
600	1055	700
601	1056	698
602	1058	696
603	1060	695
604	1061	692
605	1062	691
606	1064	689
607	1066	687
608	1067	685
609	1069	683
610	1070	681
611	1072	680
612	1074	678
613	1075	676
614	1083	678
615	1085	676
616	1086	674
617	1087	672
618	1089	670
619	1090	668
620	1092	666
621	1094	665
622	1097	664
623	1099	662
624	1101	660
625	1102	658
626	1103	656
627	1105	654
628	1107	653
629	1109	651
630	1110	649
631	1111	647
632	1113	645
633	1114	643
634	1116	641
635	1117	639
636	1118	637
637	1119	635
638	1123	634
639	1125	632
640	1126	630
641	1127	628
642	1129	626
643	1130	625
644	1132	623
645	1133	621
646	1135	619
647	1137	617
648	1139	616
649	1140	614
650	1142	612
651	1143	610
652	1144	608
653	1146	606
654	1147	604
655	1148	602
656	1150	600
657	1152	599
658	1154	597
659	1155	595
660	1156	593
661	1158	591
662	1160	589
663	1161	587
664	1165	587
665	1167	585
666	1169	583
667	1170	581
668	1171	579
669	1172	577
670	1174	575
671	1175	573
672	1176	571
673	1178	570
674	1180	568
675	1182	566
676	1184	564
677	1185	562
678	1186	560
679	1187	558
680	1188	556
681	1189	554
682	1190	552
683	1192	550
684	1193	549
685	1195	547
686	1196	545
687	1197	543
688	1198	541
689	1199	539
690	1200	537
691	1201	534
692	1203	533
693	1204	531
694	1205	529
695	1206	527
696	1208	525
697	1210	523
698	1212	522
699	1214	520
700	1216	518
701	1217	516
702	1218	514
703	1219	512
704	1220	510
705	1223	509
706	1225	507
707	1226	505
708	1227	503
709	1228	501
710	1230	500
711	1231	498
712	1232	496
713	1233	494
714	1238	493
715	1239	491
716	1241	489
717	1242	487
718	1243	486
719	1244	484
720	1246	482
721	1247	480
722	1248	478
723	1249	476
724	1252	475
725	1253	473
726	1254	471
727	1255	469
728	1256	467
729	1257	465
730	1258	463
731	1259	461
732	1260	459
733	1262	457
734	1263	455
735	1266	454
736	1268	452
737	1269	450
738	1270	448
739	1271	446
740	1272	444
741	1274	443
742	1275	441
743	1276	439
744	1277	437
745	1279	435
746	1281	434
747	1283	432
748	1284	430
749	1286	428
750	1288	427
751	1289	425
752	1290	423
753	1292	421
754	1294	420
755	1297	418
756	1300	417
757	1302	415
758	1303	413
759	1304	411
760	1305	410
761	1306	408
762	1309	406
763	1311	405
764	1312	403
765	1314	401
766	1315	399
767	1316	397
768	1317	395
769	1320	394
770	1324	393
771	1326	391
772	1327	389
773	1328	388
774	1329	386
775	1331	384
776	1332	382
777	1334	380
778	1339	379
779	1341	378
780	1343	376
781	1344	374
782	1345	372
783	1347	371
784	1348	369
785	1349	367
786	1352	365
787	1354	364
788	1355	362
789	1356	360
790	1358	358
791	1360	357
792	1361	355
793	1362	353
794	1364	351
795	1367	350
796	1368	348
797	1370	346
798	1371	345
799	1372	343
800	1374	341
801	1375	339
802	1376	337
803	1377	335
804	1379	334
805	1381	332
806	1383	330
807	1384	329
808	1385	327
809	1387	325
810	1388	323
811	1389	321
812	1390	319
813	1392	318
814	1394	316
815	1396	314
816	1397	313
817	1398	311
818	1400	309
819	1401	307
820	1402	305
821	1403	304
822	1405	302
823	1406	300
824	1409	298
825	1410	297
826	1412	295
827	1413	293
828	1415	291
829	1416	290
830	1417	288
831	1418	286
832	1420	284
833	1422	283
834	1424	281
835	1425	279
836	1427	277
837	1428	276
838	1429	274
839	1431	272
840	1432	270
841	1433	269
842	1435	267
843	1437	265
844	1439	263
845	1440	262
846	1441	260
847	1444	258
848	1445	257
849	1446	255
850	1447	253
851	1450	251
852	1452	250
853	1455	248
854	1457	247
855	1458	245
856	1459	243
857	1460	241
858	1461	239
859	1463	238
860	1465	236
861	1467	234
862	1468	233
863	1469	231
864	1471	229
865	1472	227
866	1473	226
867	1474	224
868	1476	222
869	1479	221
870	1480	219
871	1482	217
872	1484	215
873	1485	214
874	1486	212
875	1487	210
876	1488	208
877	1489	207
878	1491	205
879	1493	203
880	1495	201
881	1496	200
882	1498	198
883	1499	196
884	1500	195
885	1502	193
886	1504	191
887	1505	189
888	1508	188
889	1510	186
890	1512	184
891	1513	183
892	1514	181
893	1515	179
894	1517	177
895	1518	176
896	1519	174
897	1522	172
898	1524	171
899	1525	169
900	1526	167
901	1527	165
902	1529	164
903	1530	162
904	1531	160
905	1533	159
906	1534	157
907	1536	155
908	1538	153
909	1539	152
910	1540	150
911	1541	148
912	1543	147
913	1544	145
914	1546	143
915	1547	141
916	1548	140
917	1550	138
918	1552	136
919	1553	135
920	1555	133
921	1556	131
922	1557	129
923	1558	128
924	1560	126
925	1561	124
926	1562	123
927	1564	121
928	1566	119
929	1567	117
930	1568	116
931	1570	114
932	1571	112
933	1572	111
934	1573	109
935	1574	107
936	1575	105
937	1578	104
938	1581	102
939	1583	101
940	1584	99
941	1586	97
942	1587	95
943	1588	94
944	1589	92
945	1590	90
946	1591	89
947	1592	87
948	1595	85
949	1596	84
950	1597	82
951	1599	80
952	1600	78
953	1601	77
954	1602	75
955	1603	73
956	1604	72
957	1606	70
958	1610	68
959	1612	67
960	1613	65
961	1614	63
962	1615	62
963	1616	60
964	1617	58
965	1619	56
966	1620	55
967	1622	53
968	1624	51
969	1625	50
970	1626	48
971	1627	46
972	1628	45
973	1629	43
974	1630	41
975	1631	40
976	1632	38
977	1633	36
978	1634	35
979	1637	33
980	1638	31
981	1640	30
982	1641	28
983	1642	26
984	1643	25
985	1644	23
986	1645	21
987	1646	19
988	1647	18
989	1648	16
990	1649	14
991	1651	13
992	1652	11
993	1655	9
994	1656	8
995	1657	6
996	1659	4
997	1660	3
998	1662	1
999	1663	0
